2026-04-01 | [12]巴西国际 vs 圣保罗[3] | 1-0 | 1-1
2026-04-01 | [17]博塔弗戈 vs 米拉索[18] | 2-1 | 3-2
2026-04-01 | [20]克鲁塞罗 vs 维多利亚[10] | 3-0 | 3-0
2026-04-01 | [6]巴伊亚 vs 巴拉纳竞技[2] | 2-0 | 3-0
2026-04-01 | [7]科里蒂巴 vs 瓦斯科达伽马[9] | 0-1 | 1-1
2026-04-01 | [4]弗鲁米嫩塞 vs 科林蒂安[11] | 2-0 | 3-1
2026-04-02 | [16]沙佩科恩斯 vs 米内罗竞技[14] | 0-3 | 0-4
2026-04-02 | [17]桑托斯 vs 瑞模贝雷[20] | 1-0 | 2-0
2026-04-02 | [1]帕尔梅拉斯 vs 格雷米奥[9] | 1-0 | 2-1
2026-04-02 | [15]布拉干蒂诺RB vs 弗拉门戈[6] | 2-0 | 3-0
2026-04-04 | [4]圣保罗 vs 克鲁塞罗[17] | 2-0 | 4-1
2026-04-04 | [7]科里蒂巴 vs 弗鲁米嫩塞[2] | 0-0 | 1-1
2026-04-04 | [8]瓦斯科达伽马 vs 博塔弗戈[15] | 0-0 | 1-2
2026-04-05 | [17]沙佩科恩斯 vs 维多利亚[13] | 0-0 | 1-1
2026-04-05 | [10]米内罗竞技 vs 巴拉纳竞技[5] | 1-0 | 2-1
2026-04-05 | [7]弗拉门戈 vs 桑托斯[14] | 0-0 | 3-1
2026-04-05 | [4]巴伊亚 vs 帕尔梅拉斯[1] | 0-1 | 1-2
2026-04-05 | [15]科林蒂安 vs 巴西国际[16] | 0-0 | 0-1
2026-04-05 | [19]米拉索 vs 布拉干蒂诺RB[12] | 0-0 | 0-1
2026-04-05 | [11]格雷米奥 vs 瑞模贝雷[20] | 0-0 | 0-0
2026-04-11 | [14]维多利亚 vs 圣保罗[2] | 1-0 | 2-0
2026-04-11 | [18]瑞模贝雷 vs 瓦斯科达伽马[12] | 0-0 | 1-1
2026-04-11 | [20]米拉索 vs 巴伊亚[5] | 1-0 | 1-2
2026-04-11 | [15]桑托斯 vs 米内罗竞技[8] | 0-0 | 1-0
2026-04-11 | [13]巴西国际 vs 格雷米奥[11] | 0-0 | 0-0
2026-04-12 | [6]巴拉纳竞技 vs 沙佩科恩斯[17] | 0-0 | 2-0
2026-04-12 | [15]博塔弗戈 vs 科里蒂巴[7] | 0-1 | 2-2
2026-04-12 | [2]弗鲁米嫩塞 vs 弗拉门戈[5] | 0-1 | 1-2
2026-04-12 | [19]克鲁塞罗 vs 布拉干蒂诺RB[9] | 1-1 | 2-1
2026-04-12 | [16]科林蒂安 vs 帕尔梅拉斯[1] | 0-0 | 0-0
