2026-04-06 | [2]瓦勒伦加 vs 维京[3] | 0-1 | 0-1
2026-04-06 | [5]萨普斯堡 vs 斯达[12] | 1-1 | 1-1
2026-04-06 | [7]汉坎 vs 布兰[14] | 0-2 | 1-5
2026-04-06 | [6]克里斯蒂安松 vs 博德闪耀[13] | 0-2 | 0-3
2026-04-06 | [9]莫尔德 vs 利勒斯特罗姆[4] | 0-0 | 0-1
2026-04-06 | [1]特罗姆瑟 vs 罗森博格[16] | 1-0 | 2-0
2026-04-07 | [8]KFUM奥斯陆 vs 桑德菲杰[15] | 1-2 | 1-2
2026-04-07 | [14]奥勒松 vs 腓特烈斯塔[9] | 1-1 | 2-3
2026-04-11 | [3]利勒斯特罗姆 vs 斯达[14] | 2-0 | 3-1
2026-04-11 | [1]特罗姆瑟 vs 克里斯蒂安松[11] | 0-0 | 2-0
2026-04-11 | [3]维京 vs 博德闪耀[7] | 3-0 | 5-0
2026-04-12 | [16]罗森博格 vs 萨普斯堡[6] | 1-1 | 2-1
2026-04-12 | [5]腓特烈斯塔 vs 瓦勒伦加[4] | 0-1 | 1-1
2026-04-12 | [15]奥勒松 vs KFUM奥斯陆[8] | 1-1 | 2-2
2026-04-12 | [10]莫尔德 vs 汉坎[12] | 3-0 | 4-1
2026-04-12 | [7]布兰 vs 桑德菲杰[11] | 0-1 | 0-1
2026-04-15 | [8]萨普斯堡 vs 博德闪耀[11] | 1-0 | 1-1
2026-04-15 | [1]特罗姆瑟 vs 利勒斯特罗姆[3] | 0-0 | 0-0
2026-04-18 | [10]博德闪耀 vs 奥勒松[15] | 1-0 | 3-0
2026-04-18 | [7]桑德菲杰 vs 罗森博格[13] | 0-0 | 0-0
2026-04-18 | [3]维京 vs 布兰[11] | 2-1 | 3-2
2026-04-19 | [4]瓦勒伦加 vs 利勒斯特罗姆[3] | 0-0 | 0-2
2026-04-19 | [14]汉坎 vs KFUM奥斯陆[10] | 2-0 | 4-0
2026-04-19 | [13]克里斯蒂安松 vs 腓特烈斯塔[6] | 0-0 | 2-0
