2026-07-07 | [阿美超1]阿拉特亚美尼亚 vs 里加FC[拉脱超2] | 0-0 | 2-0
2026-07-07 | 林肯红魔(中) vs 伊斯卡尔德斯[安道超2] | 2-1 | 3-1
2026-07-07 | [立陶甲4]考诺萨基列斯 vs 德利塔[科索沃超1] | 1-0 | 1-1
2026-07-07 | [阿塞超1]萨巴赫 vs 新圣徒[威超1] | 0-0 | 2-0
2026-07-07 | [北马其甲1]华达 vs 古比斯[芬超1] | 0-1 | 0-2
2026-07-07 | [马耳甲1]弗洛里亚纳 vs 沙姆洛克流浪[爱超1] | 1-0 | 2-0
2026-07-07 | [圣马甲1]特费奥里(中) vs 拉恩[北爱超1] | 0-1 | 0-1
2026-07-07 | [波斯甲1]巴尼亚卢卡战士 vs 索非亚列夫斯基[保甲1] | 1-0 | 1-1
2026-07-07 | [法罗甲2]克拉克斯维克 vs 阿特比森[卢森甲1] | 1-0 | 2-1
2026-07-07 | [冰岛超1]维京古尔 vs 吉奥里[匈甲9] | 0-0 | 1-0
2026-07-08 | [哈萨克超2]阿拉木图凯拉特 vs 尼克希奇[黑山甲1] | 0-0 | 2-1
2026-07-08 | [爱沙甲2]塔林弗洛拉 vs 伊比利亚1999[格鲁甲1] | 1-2 | 2-3
2026-07-08 | [摩尔甲1]佩特罗古(中) vs 埃格纳蒂亚[阿尔巴超3] | 1-1 | 1-1
2026-07-08 | [白俄超2]迪尼普罗加切夫(中) vs 克拉约瓦大学[罗甲1] | 1-3 | 1-4
2026-07-14 | [芬超1]古比斯 vs 华达[北马其甲1] | 0-0 | 0-2
2026-07-14 | [格鲁甲1]伊比利亚1999 vs 塔林弗洛拉[爱沙甲2] | 2-0 | 2-2
2026-07-14 | [安道超2]伊斯卡尔德斯 vs 林肯红魔 | 0-0 | 1-1
2026-07-14 | [拉脱超2]里加FC vs 阿拉特亚美尼亚[阿美超1] | 2-0 | 3-2
2026-07-14 | [匈甲9]吉奥里 vs 维京古尔[冰岛超1] | 2-1 | 2-2
2026-07-14 | [保甲1]索非亚列夫斯基 vs 巴尼亚卢卡战士[波斯甲1] | 0-0 | 4-0
2026-07-14 | [威超1]新圣徒 vs 萨巴赫[阿塞超1] | 0-2 | 1-2
2026-07-14 | [科索沃超1]德利塔(中) vs 考诺萨基列斯[立陶甲1] | 1-1 | 2-3
2026-07-14 | [北爱超1]拉恩 vs 特费奥里[圣马甲1] | 1-1 | 2-1
2026-07-14 | [爱超1]沙姆洛克流浪 vs 弗洛里亚纳[马耳甲1] | 2-1 | 5-1
2026-07-15 | [罗甲1]克拉约瓦大学 vs 迪尼普罗加切夫[白俄超2] | 0-0 | 1-0
2026-07-15 | [卢森甲1]阿特比森 vs 克拉克斯维克[法罗甲2] | 1-1 | 1-2
2026-07-15 | [黑山甲1]尼克希奇 vs 阿拉木图凯拉特[哈萨克超2] | 0-0 | 0-2
2026-07-15 | [阿尔巴超8]埃格纳蒂亚 vs 佩特罗古[摩尔甲1] | 3-0 | 6-1
2026-07-21 | [阿美超1]阿拉特亚美尼亚(中) vs 沙姆洛克流浪[爱超1] | 0-0 | 2-0
2026-07-21 | [格鲁甲1]伊比利亚1999 vs 布拉迪斯拉发[斯伐超1] | 0-2 | 0-2
2026-07-21 | [瑞典超10]米亚尔比 vs 林肯红魔 | 3-0 | 3-0
2026-07-21 | [阿塞超1]萨巴赫 vs 古比斯[芬超1] | 1-0 | 1-0
2026-07-21 | [丹麦超1]奥胡斯(中) vs 波兹南莱赫[波兰超1] | 0-2 | 1-4
2026-07-21 | [土超2]费内巴切 vs 扎布热矿工[波兰超2] | 1-0 | 1-0
2026-07-21 | [瑞士超1]图恩 vs 萨格勒布迪纳摩[克亚甲1] | 1-0 | 1-1
2026-07-21 | [奥甲1]格拉茨风暴 vs 哈茨[苏超1] | 1-0 | 4-0
2026-07-21 | [法罗甲2]克拉克斯维克 vs 考诺萨基列斯[立陶甲1] | 0-0 | 0-0
2026-07-21 | [冰岛超1]维京古尔 vs 贝尔谢巴夏普尔[以超1] | 0-0 | 2-1
2026-07-21 | [北爱超1]拉恩 vs 贝尔格莱德红星[塞尔超1] | 0-1 | 0-4
2026-07-22 | [塞浦甲1]奥莫尼亚 vs 阿拉木图凯拉特[哈萨克超2] | 1-0 | 1-0
2026-07-22 | [保甲1]索非亚列夫斯基 vs 克拉约瓦大学[罗甲1] | 1-0 | 1-0
2026-07-22 | [阿尔巴超8]埃格纳蒂亚 vs 采列[斯亚甲4] | 1-1 | 3-3
2026-07-28 | [芬超1]古比斯 vs 萨巴赫[阿塞超1] | 0-0 | 0-2
2026-07-28 | 林肯红魔(中) vs 米亚尔比[瑞典超10] | 0-0 | 0-0
2026-07-28 | [克亚甲1]萨格勒布迪纳摩 vs 图恩[瑞士超2] | 0-2 | 2-2
2026-07-28 | [斯亚甲7]采列 vs 埃格纳蒂亚[阿尔巴超8] | 1-1 | 1-1
2026-07-28 | [苏超1]哈茨 vs 格拉茨风暴[奥甲1] | 0-0 | 0-2
2026-07-28 | [爱超1]沙姆洛克流浪 vs 阿拉特亚美尼亚[阿美超1] | 2-0 | 2-1
