2026-04-04 | [4]哈马比 vs 米亚尔比[15] | 2-0 | 3-0
2026-04-04 | [14]代格福什 vs 天狼星[16] | 0-0 | 0-3
2026-04-05 | [7]索尔纳 vs 哈尔姆斯塔德[11] | 1-0 | 2-1
2026-04-05 | [瑞典甲2]卡尔马 vs 瓦斯特拉斯[瑞典甲1] | 0-1 | 0-1
2026-04-05 | [瑞典甲3]奥尔格里特 vs 马尔默[6] | 0-0 | 1-1
2026-04-06 | [8]埃尔夫斯堡 vs 哥德堡[4] | 0-0 | 2-0
2026-04-06 | [10]赫根 vs 布洛马波卡纳[12] | 0-1 | 2-2
2026-04-06 | [3]哥德堡盖斯 vs 尤尔加登[5] | 0-0 | 0-1
2026-04-11 | [14]哥德堡 vs 赫根[8] | 0-1 | 0-2
2026-04-11 | [6]瓦斯特拉斯 vs 埃尔夫斯堡[3] | 0-0 | 2-2
2026-04-11 | [16]米亚尔比 vs 奥尔格里特[10] | 0-2 | 0-2
2026-04-12 | [8]尤尔加登 vs 卡尔马[12] | 2-2 | 3-2
2026-04-12 | [11]哈尔姆斯塔德 vs 代格福什[14] | 0-1 | 0-3
2026-04-12 | [10]马尔默 vs 哥德堡盖斯[13] | 3-0 | 3-1
2026-04-13 | [11]布洛马波卡纳 vs 索尔纳[9] | 0-0 | 2-2
2026-04-13 | [8]天狼星 vs 哈马比[7] | 1-0 | 2-0
2026-04-17 | [2]尤尔加登 vs 马尔默[3] | 0-0 | 0-1
2026-04-17 | [10]代格福什 vs 埃尔夫斯堡[4] | 0-0 | 0-1
2026-04-18 | [3]天狼星 vs 瓦斯特拉斯[8] | 3-0 | 4-1
2026-04-18 | [9]哈马比 vs 奥尔格里特[6] | 4-1 | 8-1
2026-04-18 | [16]米亚尔比 vs 布洛马波卡纳[11] | 3-0 | 3-0
2026-04-18 | [14]哈尔姆斯塔德 vs 哥德堡[15] | 0-0 | 1-1
2026-04-19 | [7]索尔纳 vs 卡尔马[15] | 1-0 | 1-0
2026-04-19 | [6]赫根 vs 哥德堡盖斯[16] | 0-0 | 2-1
2026-04-22 | [8]瓦斯特拉斯 vs 赫根[2] | 2-1 | 3-3
2026-04-22 | [6]哈马比 vs 哈尔姆斯塔德[13] | 0-1 | 1-1
2026-04-22 | [9]奥尔格里特 vs 布洛马波卡纳[12] | 0-1 | 1-2
2026-04-22 | [4]埃尔夫斯堡 vs 尤尔加登[7] | 1-1 | 2-1
2026-04-23 | [16]哥德堡盖斯 vs 米亚尔比[12] | 0-0 | 0-0
2026-04-23 | [5]马尔默 vs 天狼星[2] | 0-1 | 2-3
2026-04-23 | [15]卡尔马 vs 哥德堡[14] | 1-1 | 1-1
2026-04-23 | [11]代格福什 vs 索尔纳[6] | 1-1 | 2-1
2026-04-26 | [7]尤尔加登 vs 哈马比[4] | 1-0 | 1-1
2026-04-26 | [10]布洛马波卡纳 vs 瓦斯特拉斯[9] | 1-1 | 1-2
2026-04-26 | [14]哥德堡 vs 哥德堡盖斯[16] | 1-0 | 2-2
2026-04-27 | [12]奥尔格里特 vs 代格福什[9] | 0-0 | 1-1
2026-04-27 | [16]卡尔马 vs 埃尔夫斯堡[2] | 1-1 | 2-1
2026-04-27 | [4]赫根 vs 天狼星[1] | 2-1 | 2-2
2026-04-27 | [11]米亚尔比 vs 哈尔姆斯塔德[15] | 0-0 | 2-0
2026-04-27 | [7]索尔纳 vs 马尔默[6] | 0-1 | 0-1
2026-05-02 | [7]代格福什 vs 赫根[4] | 0-1 | 1-1
2026-05-02 | [1]天狼星 vs 卡尔马[13] | 0-2 | 3-2
2026-05-03 | [3]马尔默 vs 米亚尔比[10] | 0-1 | 2-3
2026-05-03 | [5]哈马比 vs 瓦斯特拉斯[7] | 0-0 | 3-0
2026-05-03 | [4]埃尔夫斯堡 vs 索尔纳[8] | 1-1 | 1-1
2026-05-03 | [15]哥德堡盖斯 vs 奥尔格里特[12] | 1-0 | 4-0
