2026-02-21 | [西13]圣路易斯城 vs 夏洛特FC[东4] | 0-0 | 1-1
2026-02-21 | [东2]辛辛那提 vs 亚特兰大联[东14] | 0-0 | 2-0
2026-02-21 | [西2]温哥华白浪 vs 皇家盐湖城[西9] | 0-0 | 1-0
2026-02-21 | [东9]奥兰多城 vs 纽约红牛[东10] | 0-2 | 1-2
2026-02-21 | [东15]华盛顿联 vs 费城联合[东1] | 1-0 | 1-0
2026-02-21 | [西6]奥斯汀FC vs 明尼苏达联[西4] | 1-1 | 2-2
2026-02-21 | [西7]达拉斯FC vs 多伦多FC[东12] | 2-1 | 3-2
2026-02-21 | [西12]休斯敦迪纳摩 vs 芝加哥火焰[东8] | 0-1 | 2-1
2026-02-21 | [东6]纳什威尔 vs 新英格兰革命[东11] | 3-0 | 4-1
2026-02-22 | [西3]洛杉矶FC vs 迈阿密国际[东3] | 1-0 | 3-0
2026-02-22 | [西10]圣何塞地震 vs 堪萨斯城竞技[西15] | 2-0 | 3-0
2026-02-22 | [西1]圣地亚哥 vs CF蒙特利尔[东13] | 2-0 | 5-0
2026-02-22 | [西8]波特兰伐木者 vs 哥伦布机员[东7] | 2-2 | 3-2
2026-02-22 | [西14]洛杉矶银河 vs 纽约城[东5] | 1-0 | 1-1
2026-02-22 | [西5]西雅图海湾人 vs 科罗拉多急流[西11] | 1-0 | 2-0
2026-02-28 | [东10]芝加哥火焰 vs CF蒙特利尔[东15] | 1-0 | 3-0
2026-02-28 | [东3]纽约红牛 vs 新英格兰革命[东13] | 0-0 | 1-0
2026-02-28 | [西9]明尼苏达联 vs 辛辛那提[东2] | 0-0 | 1-0
2026-02-28 | [西14]科罗拉多急流 vs 波特兰伐木者[西6] | 1-0 | 2-0
2026-02-28 | [西3]圣何塞地震 vs 亚特兰大联[东12] | 1-0 | 2-0
2026-02-28 | [西14]皇家盐湖城 vs 西雅图海湾人[西5] | 1-0 | 2-1
2026-02-28 | [西6]达拉斯FC vs 纳什威尔[东2] | 0-0 | 0-0
2026-02-28 | [西15]堪萨斯城竞技 vs 哥伦布机员[东8] | 0-1 | 2-2
2026-02-28 | [西7]休斯敦迪纳摩 vs 洛杉矶FC[西4] | 0-0 | 0-2
2026-03-01 | [西8]温哥华白浪 vs 多伦多FC[东9] | 3-0 | 3-0
2026-03-01 | [西12]洛杉矶银河 vs 夏洛特FC[东7] | 3-0 | 3-0
2026-03-01 | [西13]奥斯汀FC vs 华盛顿联[东5] | 0-0 | 1-0
2026-03-01 | [东10]费城联合 vs 纽约城[东6] | 0-1 | 1-2
2026-03-01 | [东9]奥兰多城 vs 迈阿密国际[东11] | 2-0 | 2-4
2026-03-01 | [西8]圣地亚哥 vs 圣路易斯城[西14] | 1-0 | 2-0
2026-03-07 | [东3]纽约城 vs 奥兰多城[东11] | 3-0 | 5-0
2026-03-07 | [东6]华盛顿联(中) vs 迈阿密国际[东7] | 0-2 | 1-2
2026-03-07 | [东8]哥伦布机员 vs 芝加哥火焰[东5] | 0-0 | 0-0
2026-03-07 | [东10]费城联合 vs 圣何塞地震[西3] | 0-0 | 0-1
2026-03-07 | [东13]亚特兰大联 vs 皇家盐湖城[西10] | 1-3 | 2-3
2026-03-07 | [东9]夏洛特FC vs 奥斯汀FC[西7] | 1-1 | 3-1
2026-03-07 | [东4]纳什威尔 vs 明尼苏达联[西6] | 2-1 | 3-1
2026-03-07 | [西15]堪萨斯城竞技 vs 圣地亚哥[西1] | 0-1 | 0-1
2026-03-07 | [西14]圣路易斯城 vs 西雅图海湾人[西9] | 0-0 | 0-1
2026-03-08 | [西11]科罗拉多急流 vs 洛杉矶银河[西5] | 1-0 | 4-1
2026-03-08 | [西12]波特兰伐木者 vs 温哥华白浪[西4] | 0-1 | 1-4
2026-03-08 | [西3]洛杉矶FC vs 达拉斯FC[西8] | 0-0 | 1-0
2026-03-08 | [东3]纽约红牛 vs CF蒙特利尔[东15] | 0-2 | 0-3
2026-03-08 | [东7]辛辛那提 vs 多伦多FC[东11] | 0-0 | 0-1
2026-03-14 | [东9]多伦多FC vs 纽约红牛[东4] | 1-0 | 1-1
2026-03-14 | [东14]亚特兰大联 vs 费城联合[东12] | 1-0 | 3-1
2026-03-14 | [东11]哥伦布机员 vs 纳什威尔[东2] | 0-0 | 0-1
2026-03-14 | [东6]夏洛特FC vs 迈阿密国际[东3] | 0-0 | 0-0
2026-03-14 | [东1]纽约城 vs 科罗拉多急流[西5] | 2-1 | 3-1
2026-03-14 | [东15]奥兰多城 vs CF蒙特利尔[东10] | 2-1 | 2-1
2026-03-14 | [西9]达拉斯FC vs 圣地亚哥[西1] | 1-2 | 3-3
2026-03-14 | [东5]芝加哥火焰 vs 华盛顿联[东9] | 0-0 | 1-2
2026-03-14 | [西12]休斯敦迪纳摩 vs 波特兰伐木者[西13] | 0-1 | 3-2
2026-03-14 | [西8]洛杉矶银河 vs 堪萨斯城竞技[西15] | 0-1 | 1-2
2026-03-14 | [西7]皇家盐湖城 vs 奥斯汀FC[西11] | 1-1 | 2-1
2026-03-15 | [西3]洛杉矶FC vs 圣路易斯城[西14] | 0-0 | 2-0
2026-03-15 | [东14]新英格兰革命 vs 辛辛那提[东9] | 3-1 | 6-1
2026-03-15 | [西3]温哥华白浪 vs 明尼苏达联[西11] | 4-0 | 6-0
2026-03-15 | [西4]圣何塞地震 vs 西雅图海湾人[西6] | 0-1 | 0-1
2026-03-21 | [东8]多伦多FC vs 哥伦布机员[东14] | 0-1 | 2-1
2026-03-21 | [东15]费城联合 vs 芝加哥火焰[东7] | 1-1 | 1-2
2026-03-21 | [东2]纳什威尔 vs 奥兰多城[东13] | 2-0 | 5-0
2026-03-21 | [东6]夏洛特FC vs 纽约红牛[东4] | 1-0 | 6-1
2026-03-21 | [东10]亚特兰大联 vs 华盛顿联[东5] | 0-0 | 0-0
2026-03-21 | [西15]圣路易斯城 vs 新英格兰革命[东9] | 2-1 | 3-1
