2026-04-04 | [1]图尔库国际 vs VPS瓦萨[7] | 0-0 | 0-0
2026-04-04 | [3]赫尔辛基 vs 塞伊奈约基[5] | 1-0 | 3-0
2026-04-04 | [8]雅罗 vs 拉赫蒂[芬甲1] | 0-1 | 0-1
2026-04-04 | [9]玛丽港 vs TPS土尔库[芬甲2] | 1-0 | 1-1
2026-04-04 | [2]埃尔维斯 vs 古比斯[4] | 0-2 | 1-3
2026-04-04 | [6]格尼斯坦 vs 奥卢[10] | 1-2 | 1-5
2026-04-10 | [5]TPS土尔库 vs 拉赫蒂[4] | 1-0 | 2-1
2026-04-10 | [11]塞伊奈约基 vs 玛丽港[6] | 1-0 | 3-0
2026-04-10 | [8]VPS瓦萨 vs 雅罗[9] | 0-0 | 0-0
2026-04-11 | [4]古比斯 vs 格尼斯坦[12] | 0-0 | 1-0
2026-04-11 | [3]赫尔辛基 vs 奥卢[2] | 0-1 | 0-1
2026-04-11 | [8]图尔库国际 vs 埃尔维斯[11] | 0-1 | 2-1
2026-04-18 | [12]格尼斯坦 vs 赫尔辛基[5] | 0-1 | 0-3
2026-04-18 | [9]雅罗 vs 古比斯[2] | 1-0 | 1-1
2026-04-18 | [1]奥卢 vs VPS瓦萨[8] | 0-0 | 1-0
2026-04-18 | [7]拉赫蒂 vs 图尔库国际[4] | 0-0 | 0-2
2026-04-18 | [3]TPS土尔库 vs 塞伊奈约基[6] | 1-0 | 2-0
2026-04-18 | [10]玛丽港 vs 埃尔维斯[11] | 1-1 | 2-2
2026-04-22 | [3]古比斯 vs 奥卢[1] | 1-1 | 3-2
2026-04-24 | [3]TPS土尔库 vs 格尼斯坦[12] | 0-0 | 1-1
2026-04-24 | [9]VPS瓦萨 vs 埃尔维斯[11] | 3-0 | 3-2
2026-04-24 | [6]塞伊奈约基 vs 雅罗[8] | 0-1 | 1-1
2026-04-25 | [9]拉赫蒂 vs 奥卢[2] | 2-0 | 2-1
2026-04-25 | [4]图尔库国际 vs 玛丽港[10] | 0-0 | 1-0
2026-04-26 | [1]古比斯 vs 赫尔辛基[5] | 1-0 | 1-1
2026-04-29 | [2]图尔库国际 vs 赫尔辛基[5] | 1-1 | 1-1
2026-05-02 | [8]塞伊奈约基 vs 埃尔维斯[11] | 0-1 | 1-1
2026-05-02 | [10]玛丽港 vs VPS瓦萨[7] | 0-1 | 0-1
2026-05-02 | [9]雅罗 vs TPS土尔库[5] | 1-1 | 2-2
2026-05-02 | [3]奥卢 vs 古比斯[1] | 1-0 | 2-0
2026-05-04 | [5]赫尔辛基 vs 拉赫蒂[7] | 1-0 | 1-0
2026-05-05 | [12]格尼斯坦 vs 图尔库国际[3] | 1-0 | 2-0
2026-05-08 | [11]埃尔维斯 vs 奥卢[1] | 1-0 | 1-0
2026-05-08 | [5]TPS土尔库 vs 赫尔辛基[2] | 0-0 | 1-0
2026-05-08 | [3]古比斯 vs 塞伊奈约基[8] | 0-0 | 0-0
2026-05-09 | [5]图尔库国际 vs 雅罗[10] | 2-0 | 2-0
2026-05-09 | [6]VPS瓦萨 vs 格尼斯坦[11] | 1-0 | 1-1
2026-05-10 | [8]拉赫蒂 vs 玛丽港[12] | 1-0 | 1-1
2026-05-16 | [5]赫尔辛基 vs 埃尔维斯[9] | 1-1 | 2-2
2026-05-16 | [12]玛丽港 vs 古比斯[4] | 1-1 | 1-1
2026-05-16 | [8]塞伊奈约基 vs 图尔库国际[1] | 0-2 | 1-3
2026-05-16 | [2]奥卢 vs TPS土尔库[4] | 0-0 | 1-0
