2026-03-01 | [1]全北现代 vs 富川FC[韩K2联3] | 1-1 | 2-3
2026-03-01 | [11]济州SK vs 光州FC[8] | 0-0 | 0-0
2026-03-02 | [3]大田市民 vs FC安养[7] | 0-0 | 1-1
2026-03-07 | [2]富川FC vs 大田市民[5] | 0-0 | 1-1
2026-03-07 | [9]光州FC vs 仁川联队[11] | 1-1 | 3-2
2026-03-08 | [7]金泉尚武 vs 全北现代[11] | 0-0 | 1-1
2026-03-08 | [8]FC安养 vs 济州SK[9] | 0-0 | 2-1
2026-03-14 | [2]光州FC vs 全北现代[8] | 0-0 | 0-0
2026-03-14 | [6]大田市民 vs 金泉尚武[7] | 0-1 | 1-1
2026-03-15 | [10]济州SK vs FC首尔[7] | 0-0 | 1-2
2026-03-15 | [2]富川FC vs 蔚山HD[4] | 1-1 | 1-2
2026-03-15 | [12]江原FC vs FC安养[3] | 1-1 | 1-1
2026-03-15 | [9]浦项制铁 vs 仁川联队[11] | 0-1 | 1-1
2026-03-17 | [7]金泉尚武 vs 光州FC[4] | 0-0 | 1-1
2026-03-18 | [10]仁川联队 vs 大田市民[7] | 1-1 | 1-3
2026-03-18 | [8]全北现代 vs FC安养[4] | 1-1 | 2-1
2026-03-18 | [5]富川FC vs 江原FC[12] | 0-0 | 0-0
2026-03-18 | [11]济州SK vs 蔚山HD[1] | 0-0 | 0-2
2026-03-18 | [9]浦项制铁 vs FC首尔[2] | 0-1 | 0-1
2026-03-21 | [3]大田市民 vs 全北现代[5] | 0-1 | 0-1
2026-03-22 | [2]FC首尔 vs 光州FC[5] | 1-0 | 5-0
2026-03-22 | [1]蔚山HD vs 金泉尚武[8] | 0-0 | 0-0
2026-03-22 | [9]浦项制铁 vs 富川FC[6] | 0-0 | 0-0
2026-03-22 | [10]江原FC vs 济州SK[12] | 0-1 | 1-1
2026-03-22 | [7]FC安养 vs 仁川联队[11] | 0-0 | 0-1
2026-03-28 | [11]浦项制铁 vs 江原FC[10] | 0-0 | 1-0
2026-04-04 | [3]全北现代 vs 蔚山HD[2] | 1-0 | 2-0
2026-04-04 | [12]济州SK vs 富川FC[5] | 1-0 | 1-0
2026-04-04 | [11]江原FC vs 光州FC[6] | 2-0 | 3-0
2026-04-04 | [7]浦项制铁 vs 大田市民[4] | 1-0 | 1-0
2026-04-05 | [9]FC安养 vs FC首尔[1] | 0-1 | 1-1
2026-04-05 | [12]仁川联队 vs 金泉尚武[10] | 2-0 | 2-1
2026-04-11 | [4]浦项制铁 vs 济州SK[12] | 0-2 | 0-2
2026-04-11 | [1]FC首尔 vs 全北现代[2] | 0-0 | 1-0
2026-04-11 | [5]仁川联队 vs 蔚山HD[3] | 0-1 | 1-2
2026-04-11 | [10]光州FC vs 富川FC[9] | 0-0 | 0-1
2026-04-12 | [8]大田市民 vs 江原FC[9] | 0-1 | 0-2
2026-04-12 | [12]金泉尚武 vs FC安养[10] | 0-0 | 1-1
2026-04-15 | [2]蔚山HD vs FC首尔[1] | 0-3 | 1-4
2026-04-18 | [1]FC首尔 vs 大田市民[11] | 0-1 | 0-1
2026-04-18 | [4]江原FC vs 全北现代[3] | 0-1 | 1-1
2026-04-18 | [5]富川FC vs 仁川联队[8] | 0-2 | 2-2
2026-04-18 | [7]济州SK vs 金泉尚武[10] | 0-1 | 1-1
2026-04-19 | [2]蔚山HD vs 光州FC[12] | 2-1 | 5-1
2026-04-19 | [8]浦项制铁 vs FC安养[10] | 0-0 | 0-1
2026-04-21 | [3]全北现代 vs 仁川联队[10] | 1-1 | 1-2
2026-04-21 | [11]金泉尚武 vs 江原FC[4] | 0-2 | 0-3
2026-04-21 | [1]FC首尔 vs 富川FC[5] | 2-0 | 3-0
2026-04-22 | [6]FC安养 vs 蔚山HD[2] | 1-0 | 1-1
2026-04-22 | [8]大田市民 vs 济州SK[9] | 0-1 | 0-1
2026-04-22 | [10]浦项制铁 vs 光州FC[12] | 1-0 | 1-0
2026-04-25 | [3]江原FC vs FC首尔[1] | 0-1 | 1-2
2026-04-25 | [9]富川FC vs 金泉尚武[11] | 0-1 | 0-2
2026-04-25 | [7]仁川联队 vs 济州SK[5] | 0-0 | 1-0
2026-04-26 | [5]全北现代 vs 浦项制铁[7] | 2-1 | 3-2
2026-04-26 | [12]光州FC vs FC安养[8] | 0-3 | 2-5
2026-04-26 | [2]蔚山HD vs 大田市民[11] | 0-3 | 1-4
2026-05-02 | [1]FC首尔 vs 金泉尚武[10] | 1-1 | 2-3
2026-05-02 | [2]蔚山HD vs 浦项制铁[9] | 0-0 | 0-1
2026-05-02 | [8]济州SK vs 全北现代[3] | 0-1 | 0-2
2026-05-02 | [5]仁川联队 vs 江原FC[6] | 0-1 | 0-1
2026-05-02 | [4]FC安养 vs 富川FC[11] | 0-0 | 0-1
2026-05-02 | [12]光州FC vs 大田市民[7] | 0-2 | 0-5
2026-05-05 | [10]富川FC vs 济州SK[11] | 0-0 | 0-1
2026-05-05 | [2]全北现代 vs 光州FC[12] | 1-0 | 4-0
2026-05-05 | [5]大田市民 vs 仁川联队[8] | 0-0 | 0-0
2026-05-05 | [4]江原FC vs 浦项制铁[6] | 0-0 | 1-1
2026-05-05 | [9]金泉尚武 vs 蔚山HD[3] | 0-1 | 1-2
2026-05-05 | [1]FC首尔 vs FC安养[7] | 0-0 | 0-0
2026-05-09 | [9]济州SK vs FC首尔[1] | 1-0 | 2-1
2026-05-09 | [12]光州FC vs 江原FC[4] | 0-0 | 0-0
2026-05-09 | [10]金泉尚武 vs 仁川联队[8] | 0-2 | 0-3
2026-05-09 | [5]大田市民 vs 浦项制铁[6] | 0-0 | 0-2
2026-05-10 | [3]蔚山HD vs 富川FC[11] | 1-0 | 1-0
2026-05-10 | [9]FC安养 vs 全北现代[2] | 0-0 | 1-1
2026-05-12 | [6]江原FC vs 大田市民[8] | 0-0 | 2-0
2026-05-12 | [12]光州FC vs FC首尔[1] | 0-0 | 0-1
2026-05-12 | [5]仁川联队 vs 浦项制铁[4] | 0-1 | 0-1
2026-05-13 | [9]FC安养 vs 金泉尚武[10] | 1-0 | 2-2
2026-05-13 | [2]蔚山HD vs 济州SK[7] | 2-0 | 2-1
2026-05-13 | [11]富川FC vs 全北现代[3] | 0-0 | 0-0
2026-05-16 | [9]大田市民 vs FC首尔[1] | 0-1 | 1-2
2026-05-16 | [6]仁川联队 vs 光州FC[12] | 2-0 | 4-0
2026-05-17 | [7]济州SK vs FC安养[8] | 0-1 | 1-2
2026-05-17 | [3]全北现代 vs 金泉尚武[10] | 0-0 | 1-0
2026-05-17 | [11]富川FC vs 浦项制铁[4] | 0-0 | 2-0
2026-05-17 | [6]江原FC vs 蔚山HD[2] | 2-0 | 2-0
2026-07-04 | [7]FC安养 vs 浦项制铁[5] | 1-1 | 2-3
2026-07-04 | [10]大田市民 vs 富川FC[9] | 0-0 | 2-2
2026-07-04 | [3]全北现代 vs 江原FC[4] | 0-1 | 1-2
2026-07-05 | [12]光州FC vs 蔚山HD[4] | 0-0 | 1-1
2026-07-05 | [1]FC首尔 vs 仁川联队[6] | 0-0 | 1-0
2026-07-05 | [11]金泉尚武 vs 济州SK[8] | 0-0 | 1-1
2026-07-11 | [2]蔚山HD vs 全北现代[4] | 0-1 | 1-3
2026-07-11 | [12]光州FC vs 浦项制铁[5] | 0-1 | 0-3
2026-07-11 | [11]金泉尚武 vs 富川FC[9] | 1-1 | 1-1
2026-07-12 | [6]仁川联队 vs FC安养[7] | 0-1 | 0-1
2026-07-12 | [1]FC首尔 vs 江原FC[5] | 0-0 | 0-0
2026-07-12 | [8]济州SK vs 大田市民[10] | 0-0 | 0-0
2026-07-18 | [7]仁川联队 vs 全北现代[2] | 1-0 | 1-0
2026-07-18 | [3]江原FC vs 金泉尚武[11] | 2-0 | 2-0
2026-07-18 | [10]大田市民 vs 蔚山HD[5] | 2-1 | 2-2
2026-07-18 | [8]济州SK vs 浦项制铁[4] | 0-1 | 2-1
2026-07-19 | [10]富川FC vs FC首尔[1] | 0-1 | 1-3
2026-07-19 | [7]FC安养 vs 光州FC[12] | 0-0 | 1-1
2026-07-21 | [8]济州SK vs 江原FC[2] | 1-1 | 1-1
2026-07-21 | [4]蔚山HD vs 仁川联队[7] | 1-1 | 1-2
2026-07-21 | [3]全北现代 vs 大田市民[9] | 0-0 | 0-0
2026-07-22 | [12]光州FC vs 金泉尚武[11] | 1-1 | 1-1
2026-07-22 | [10]富川FC vs FC安养[7] | 1-1 | 2-3
2026-07-22 | [1]FC首尔 vs 浦项制铁[5] | 1-0 | 3-1
2026-07-25 | [11]金泉尚武 vs 大田市民[9] | 2-1 | 3-2
2026-07-25 | [5]浦项制铁 vs 全北现代[3] | 0-1 | 0-2
2026-07-26 | [1]FC首尔 vs 蔚山HD[4] | 0-2 | 1-3
2026-07-26 | [6]FC安养 vs 江原FC[3] | 2-0 | 2-1
2026-07-26 | [12]光州FC vs 济州SK[8] | 1-1 | 1-2
2026-07-26 | [7]仁川联队 vs 富川FC[11] | 0-1 | 1-1
