联赛 | 场次 | 方向% | 比分% | 半全场% | 场均进球 | 大2.5% | 平局% | 主胜%
挪超 | 25 | 60% | 36% | 60% | 3.28 | 72% | 16% | 40%
韩职 | 23 | 39% | 26% | 57% | 2.91 | 61% | 30% | 26%
瑞超 | 22 | 55% | 41% | 77% | 3.00 | 50% | 23% | 41%
巴甲 | 18 | 56% | 39% | 67% | 2.22 | 39% | 50% | 28%
芬超 | 18 | 78% | 67% | 72% | 2.22 | 44% | 22% | 44%
欧冠资格赛 | 14 | 79% | 43% | 79% | 2.14 | 29% | 14% | 57%
欧联资格赛 | 12 | 58% | 17% | 42% | 3.25 | 50% | 33% | 50%
美职联 | 11 | 55% | 18% | 55% | 2.55 | 45% | 55% | 45%
葡超 | 10 | 60% | 40% | 70% | 2.80 | 50% | 50% | 40%
欧冠 | 8 | 50% | 25% | 75% | 3.12 | 75% | 25% | 38%
日职联 | 8 | 88% | 50% | 62% | 4.38 | 88% | 25% | 38%
巴西杯 | 7 | 43% | 29% | 71% | 2.14 | 29% | 29% | 43%
荷甲 | 7 | 57% | 29% | 43% | 3.29 | 71% | 14% | 29%
法乙 | 6 | 50% | 17% | 83% | 2.67 | 33% | 33% | 33%
欧罗巴资格赛 | 5 | 20% | 40% | 0% | 2.20 | 40% | 20% | 60%
德乙 | 5 | 60% | 20% | 40% | 2.20 | 40% | 40% | 20%
荷乙 | 4 | 75% | 25% | 25% | 3.25 | 75% | 25% | 50%
英联杯 | 4 | 100% | 75% | 100% | 2.00 | 25% | 25% | 50%
解放者杯 | 3 | 67% | 100% | 67% | 2.00 | 0% | 100% | 0%
沙特联 | 3 | 100% | 33% | 100% | 5.00 | 100% | 0% | 100%
英冠 | 3 | 33% | 33% | 33% | 3.33 | 100% | 33% | 33%
欧超杯 | 1 | 0% | 0% | 0% | 3.00 | 100% | 0% | 100%
日职乙 | 1 | 100% | 100% | 100% | 1.00 | 0% | 0% | 100%
日职 | 1 | 0% | 0% | 0% | 3.00 | 100% | 0% | 100%
日乙 | 1 | 0% | 0% | 0% | 2.00 | 0% | 0% | 100%
亚冠 | 1 | 100% | 100% | 100% | 0.00 | 0% | 100% | 0%
瑞典超 | 1 | 100% | 0% | 100% | 3.00 | 100% | 0% | 100%
