temp,rb,date,no,lgc,act_balls,dir_hit,score_hit,ht_hit,ou_hit,lam,kx,weak,inj,rain,round,rank_gap,off_1,def_1,off_2,def_2,h2h_score
28.0,R2,2026-08-21,001,lg-j1,6,1,0,1,,2.3,,,,,,,,,,,
28.0,R2,2026-08-21,002,lg-j1,2,1,0,1,,2.0,1,1,,,,,,,,,
39.0,R2,2026-08-21,003,lg-spl,4,1,0,1,,2.6,1,,,,,,,,,,
19.0,,2026-08-21,004,lg-fin,3,0,0,0,,2.1,,1,,,,,,,,,
18.0,R1,2026-08-21,005,lg-swe,3,0,0,0,,2.8,,,,,,,,,,,
34.0,,2026-08-21,006,lg-spl,1,0,0,0,,2.4,1,,,,,,,,,,
26.0,,2026-08-21,009,lg-ligue1,4,1,0,1,,2.2,,1,,,,,,,,,
18.0,,2026-08-21,010,lg-eng,3,1,1,1,,2.8000000000000003,,,,,,,,,,,
27.0,,2026-08-21,011,lg-laliga,1,1,1,1,,2.2,,,,,,,,,,,
26.0,R2,2026-08-22,001,lg-j1,5,1,0,1,,2.8,,,,,,,,,,,
29.0,,2026-08-22,003,lg-j1,1,1,1,1,,2.2,,1,,,,,,,,,
29.0,R2,2026-08-22,005,lg-k1,1,1,1,1,,2.2,1,,,,,,,,,,
27.0,R2,2026-08-22,006,lg-k1,7,1,0,1,,2.3,,,,,,,,,,,
17.0,,2026-08-22,007,lg-eng,2,0,0,0,,,,,,,,,,,,,
18.0,,2026-08-22,010,lg-eng,2,1,0,1,,2.5,,,,,,,,,,,
20.0,,2026-08-22,011,lg-eng,1,0,1,0,,2.6,1,,1,,,,,,,,
19.5,,2026-08-22,012,lg-eng,3,0,0,0,,2.5,,,,,,,,,,,
26.5,B1,2026-08-22,016,lg-laliga,4,0,0,0,,2.5,1,,,,,,,,,,
19.0,,2026-08-22,017,lg-ligue1,7,1,0,1,,2.3,,,,,,,,,,,
21.0,,2026-08-22,018,lg-eng,3,1,0,1,,2.5999999999999996,,,,,,,,,,,
26.0,,2026-08-22,019,lg-sa,2,1,1,0,,2.1,,1,,,,,,,,,
29.0,,2026-08-22,020,lg-sa,5,1,0,1,,1.9,,,,,,,,,,,
27.0,R2,2026-08-22,021,lg-laliga,0,1,0,1,,2.4000000000000004,,,4,,,,,,,,
18.0,R2,2026-08-22,022,lg-bundes,3,1,1,1,,2.7,,1,,,,,,,,,
26.0,,2026-08-22,023,lg-sa,2,1,1,1,,2.1,,,,,,,,,,,
27.0,,2026-08-22,024,lg-sa,1,1,1,1,,2.2,,1,,,,,,,,,
27.0,,2026-08-22,025,lg-ligue1,0,1,1,1,,2.2,,1,,,,,,,,,
27.0,,2026-08-22,026,lg-ligue1,2,1,1,1,,2.3,,,,,,,,,,,
26.0,,2026-08-22,027,lg-laliga,3,1,0,1,,,,,,,,,,,,,
32.0,R2,2026-08-23,021,lg-laliga,1,0,0,0,,2.25,,1,,,,,,,,,
25.0,,2026-08-23,022,lg-sa,3,0,0,0,,2.45,1,,,,,,,,,,
24.0,,2026-08-23,023,lg-sa,3,0,0,0,,1.95,1,1,,,,,,,,,
27.5,,2026-08-23,024,lg-laliga,5,1,0,1,,2.9,,,,,,,,,,,
17.0,R2,2026-08-23,001,lg-ered,4,1,1,1,,2.5,,,,,,,,,,,
27.0,R2,2026-08-23,002,lg-j1,4,1,1,1,,3.5,,,,,,,,,,,
31.0,,2026-08-23,003,lg-k1,3,0,0,0,,2.35,1,,,,,,,,,,
20.0,R1,2026-08-23,005,lg-dfb,3,1,1,1,,2.6500000000000004,1,,,,,,,,,,
19.5,,2026-08-23,009,lg-eng,3,1,1,0,,2.5,,,,,,,,,,,
26.0,,2026-08-23,010,lg-ligue1,2,1,1,1,,2.35,,1,,,,,,,,,
18.0,,2026-08-23,011,lg-dfb,6,1,0,1,,2.85,,,,,,,,,,,
32.5,R2,2026-08-23,015,lg-laliga,4,1,0,1,,2.6,,1,,,,,,,,,
23.0,,2026-08-23,016,lg-ligue1,1,1,1,1,,2.15,,1,,,,,,,,,
19.4,,2026-08-23,017,lg-eng,4,0,0,0,,2.8,,1,,,,,,,,,
27.0,,2026-08-23,019,lg-sa,2,0,0,0,,2.5999999999999996,,1,,,,,,,,,
32.0,,2026-08-23,018,lg-sa,1,1,0,1,,2.7,,,,,,,,,,,
31.3,R2,2026-08-24,001,lg-sa,1,0,0,0,,2.4,,1,,,,,,,,,
37.1,R2,2026-08-24,002,lg-spl,2,1,0,1,,2.75,1,,,,,,,,,,
31.1,R2,2026-08-24,004,lg-laliga,0,1,0,1,,2.25,,1,,,,,,,,,
33.0,R2,2026-08-24,005,lg-spl,5,1,0,1,,2.75,,,,,,,,,,,
30.0,R2,2026-08-24,006,lg-sa,4,1,0,1,,2.6500000000000004,,,,,,,,,,,
19.0,,2026-08-24,008,lg-eng,5,1,0,1,,2.65,,,,,,,,,,,
28.0,,2026-08-24,010,lg-laliga,2,1,1,1,,2.3499999999999996,,1,,,,,,,,,
20.0,红榜,2026-08-24,011,lg-bras,5,1,0,1,,2.3,,,,,,,,,,,
29.0,B1,2026-08-25,001,lg-k1,0,1,0,1,,,1,,,,,,,,,,
28.0,R1,2026-08-25,002,lg-k1,3,0,0,0,,,,1,,,,,,,,,
35.4,R2,2026-08-25,003,lg-spl,5,1,0,1,,,,,,,,,,,,,
21.0,,2026-08-25,004,lg-champ,2,1,1,1,,,,1,,,,,,,,,
19.0,B1,2026-08-25,005,lg-uel,5,0,0,0,,,,,,,,,,,,,
12.0,R2,2026-08-25,006,lg-ucl,3,1,0,1,,,,,,,,,,,,,
19.8,,2026-08-25,007,lg-champ,2,1,0,1,,,1,1,,,,,,,,,
20.9,B1,2026-08-25,008,lg-champ,7,1,0,1,,,,,,,,,,,,,
