kx,black,weak,hot4,early,date,no,yc,lgc,act_balls,dir_hit,ht_hit,ou_hit,lam,dir_txt,act_main,act_away,side,ht_side,rain,rank_gap,inj,off_a,def_a,off_b,def_b,h2h_score
0,0,0,0,0,2026-08-12,003,1,lg-ucl,4.0,1,1,,,胜（A级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-12,004,1,lg-ucl,4.0,1,1,,,胜/平（B级）,4.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-12,005,1,lg-ucl,2.0,1,1,,,平/负（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-12,006,1,lg-ucl,2.0,0,0,,,平/负（B级）,2.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-12,007,1,lg-ucl,2.0,1,1,,,胜（B级）,2.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-12,008,1,lg-ucl,1.0,1,1,,,负/平（B级）,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-12,009,1,lg-ucl,3.0,1,1,,,胜（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-13,001,1,lg-ucl,3.0,0,0,,,平/负（B级）,2.0,1.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-13,002,1,lg-bras,2.0,1,0,,,平/负（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-13,003,1,lg-bras,2.0,1,1,,,胜/平（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-05,001,1,lg-bras,1.0,1,1,,,平/负（B级）,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-05,002,1,lg-ucl,3.0,1,1,,,平/负（B级）,1.0,2.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-05,003,1,lg-ucl,0.0,0,1,,,胜（A级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-05,004,1,lg-ucl,6.0,1,1,,,平/负（B级）,3.0,3.0,0.0,0.0,,,,,,,,
