date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-12,003,欧冠资格赛,lg-ucl,,3.71,2.61,23.0,19.0,,,,,,,,,,,,,1.1,4.0,,,,,2-2（0-0）,平,平平,4,2,2,0.0,0.0,ok,no,ok,
2026-08-12,004,欧冠资格赛,lg-ucl,,3.0,1.28,29.0,14.0,,,,,,,,,,,,,1.72,15.0,,,,,4-0（0-0）,主胜,平胜,4,4,0,0.0,0.0,ok,no,ok,
2026-08-12,005,欧冠资格赛,lg-ucl,,1.9,1.08,17.0,10.0,,,,,,,,,,,,,0.8199999999999998,7.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,
2026-08-12,006,欧冠资格赛,lg-ucl,,,,10.0,4.0,7.0,3.0,12.0,9.0,,,,,,,,,,6.0,4.0,3.0,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,no,no,no,
2026-08-12,007,欧冠资格赛,lg-ucl,,,,11.0,5.0,4.0,1.0,1.0,4.0,,,,,,,,,,6.0,3.0,-3.0,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,ok,ok,
2026-08-12,008,欧冠资格赛,lg-ucl,,1.35,2.17,19.0,11.0,,,,,,,,,,,,,-0.8199999999999998,8.0,,,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,ok,ok,ok,
2026-08-12,009,欧冠资格赛,lg-ucl,,3.32,0.55,19.0,6.0,,,,,,,,,,,,,2.7699999999999996,13.0,,,,,3-0（1-0）,主胜,胜胜,3,3,0,1.0,0.0,ok,no,ok,
2026-08-13,001,欧超杯,lg-ucl,,,,12.0,15.0,6.0,4.0,,,,,,,,,,,,-3.0,2.0,,,,2-1（1-1）,主胜,平胜,3,2,1,1.0,1.0,no,no,no,
2026-08-13,002,解放者杯,lg-bras,,1.77,0.65,16.0,11.0,,,,,,,,,,,,,1.12,5.0,,,,,1-1（1-0）,平,胜平,2,1,1,1.0,0.0,ok,ok,no,
2026-08-13,003,解放者杯,lg-bras,,1.76,0.23,21.0,8.0,,,,,,,,,,,,,1.53,13.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,
2026-08-05,001,巴西杯,lg-bras,,,,12.0,16.0,3.0,5.0,,,,,,,,,,,,-4.0,-2.0,,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,ok,ok,ok,
2026-08-05,002,欧冠,lg-ucl,,1.45,0.78,11.0,5.0,4.0,1.0,2.0,4.0,,,,,,,,,0.6699999999999999,6.0,3.0,-2.0,,,1-2（0-0）,客胜,平负,3,1,2,0.0,0.0,ok,ok,ok,
2026-08-05,003,欧冠,lg-ucl,,0.62,1.32,12.0,13.0,5.0,4.0,5.0,2.0,,,,,,,,,-0.7000000000000001,-1.0,1.0,3.0,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,no,no,ok,
2026-08-05,004,欧冠,lg-ucl,,,,,,,,,,,,,,,,,,,,,,,,3-3（2-2）,平,平平,6,3,3,2.0,2.0,ok,no,ok,
2026-08-05,005,欧冠,lg-ucl,,1.29,1.28,9.0,11.0,3.0,4.0,6.0,9.0,,,,,,,,,0.010000000000000009,-2.0,-1.0,-3.0,,,2-1（0-1）,主胜,负胜,3,2,1,0.0,1.0,no,no,no,
2026-08-01,001,挪超,lg-nor,,0.67,1.68,14.0,14.0,5.0,7.0,3.0,3.0,,,,,,,,,-1.0099999999999998,0.0,-2.0,0.0,,,0-3（0-1）,客胜,负负,3,0,3,0.0,1.0,no,no,no,
2026-08-01,002,挪超,lg-nor,,2.31,0.47,13.0,7.0,7.0,1.0,10.0,2.0,,,,,,,,,1.84,6.0,6.0,8.0,,,4-0（2-0）,主胜,胜胜,4,4,0,2.0,0.0,ok,no,ok,
2026-08-01,003,美职联,lg-mls,,2.21,1.16,16.0,13.0,5.0,5.0,3.0,2.0,,,,,,,,,1.05,3.0,0.0,1.0,,,1-1（1-1）,平,平平,2,1,1,1.0,1.0,no,no,ok,
2026-08-01,004,韩职,lg-k1,,1.2,1.69,14.0,10.0,3.0,5.0,6.0,5.0,,,,,,,,,-0.49,4.0,-2.0,1.0,,,0-3（0-1）,客胜,负负,3,0,3,0.0,1.0,no,no,no,
2026-08-01,005,韩职,lg-k1,,0.74,0.29,14.0,7.0,5.0,2.0,4.0,5.0,,,,,,,,,0.45,7.0,3.0,-1.0,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,no,ok,
2026-08-01,006,韩职,lg-k1,,0.45,0.95,9.0,9.0,2.0,6.0,3.0,7.0,,,,,,,,,-0.49999999999999994,0.0,-4.0,-4.0,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,ok,ok,ok,
2026-08-01,007,芬超,lg-fin,,,,11.0,18.0,4.0,1.0,5.0,4.0,,,,,,,,,,-7.0,3.0,1.0,,,3-0（2-0）,主胜,胜胜,3,3,0,2.0,0.0,ok,ok,ok,
2026-08-01,008,瑞超,lg-swe,,0.73,1.76,10.0,12.0,1.0,6.0,5.0,6.0,,,,,,,,,-1.03,-2.0,-5.0,-1.0,,,1-1（1-1）,平,平平,2,1,1,1.0,1.0,no,no,ok,
2026-08-01,009,挪超,lg-nor,,1.5,1.15,16.0,15.0,5.0,2.0,6.0,5.0,,,,,,,,,0.3500000000000001,1.0,3.0,1.0,,,1-0（1-0）,主胜,胜胜,1,1,0,1.0,0.0,ok,ok,ok,
2026-08-01,010,芬超,lg-fin,,,,17.0,12.0,5.0,1.0,2.0,3.0,,,,,,,,,,5.0,4.0,-1.0,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,ok,ok,ok,
2026-08-02,001,韩职,lg-k1,,2.23,1.5,12.0,8.0,,,,,,,,,,,,,0.73,4.0,,,,,3-1（0-0）,主胜,平胜,4,3,1,0.0,0.0,ok,no,ok,
2026-08-02,002,韩职,lg-k1,,1.76,1.72,13.0,11.0,,,,,,,,,,,,,0.040000000000000036,2.0,,,,,3-3（2-2）,平,平平,6,3,3,2.0,2.0,no,no,ok,
2026-08-02,003,韩职,lg-k1,,2.08,0.67,17.0,8.0,,,,,,,,,,,,,1.4100000000000001,9.0,,,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,ok,ok,
2026-08-02,004,瑞超,lg-swe,,1.89,2.18,14.0,18.0,,,,,,,,,,,,,-0.29000000000000026,-4.0,,,,,1-2（0-0）,客胜,平负,3,1,2,0.0,0.0,ok,ok,ok,
