date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit,hm_n_h,hm_fh_sc_h,hm_fh_cc_h,hm_ht_lead_h,hm_ht_trail_h,hm_first_min_h,hm_fh_share_h,hm_n_a,hm_fh_sc_a,hm_fh_cc_a,hm_ht_lead_a,hm_ht_trail_a,hm_first_min_a,hm_fh_share_a,hm_fh_sc_diff,hm_fh_cc_diff,hm_ht_lead_diff,hm_ht_trail_diff,hm_first_min_diff,hm_fh_share_diff,lam_h,lam_a,rain_p,h2h_wr,form5_w,form5_d,form5_l,form_gf,form_ga,lam_sum
2026-08-12,003,欧冠资格赛,lg-ucl,,3.71,2.61,23.0,19.0,,,,,,,,,23.0,,,0.0,1.1,4.0,,,,,2-2（0-0）,平,平平,4,2,2,0.0,0.0,ok,no,ok,,5,1.8,0.4,0.8,0.0,12.6,0.6,1,2.0,3.0,0.0,0.0,1.0,0.667,-0.2,-2.6,0.8,0.0,11.6,-0.067,1.9,0.6,66.0,0.304,20.0,5.0,1.0,,,2.5
2026-08-12,004,欧冠资格赛,lg-ucl,,3.0,1.28,29.0,14.0,,,,,,,,,,,,,1.72,15.0,,,,,4-0（0-0）,主胜,平胜,4,4,0,0.0,0.0,ok,no,ok,,3,0.333,0.667,0.333,0.333,19.3,0.25,3,0.667,0.667,0.667,0.333,31.0,0.286,-0.334,0.0,-0.334,0.0,-11.7,-0.036,,,,,,,,,,
2026-08-12,005,欧冠资格赛,lg-ucl,,1.9,1.08,17.0,10.0,,,,,,,,,,,,,0.8199999999999998,7.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,,2,0.0,1.0,0.0,0.5,1.0,0.0,1,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5,,,,,,,,,,,,
2026-08-12,006,欧冠资格赛,lg-ucl,,,,10.0,4.0,7.0,3.0,12.0,9.0,,,,,,,,,,6.0,4.0,3.0,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-12,007,欧冠资格赛,lg-ucl,,,,11.0,5.0,4.0,1.0,1.0,4.0,,,,,,,,,,6.0,3.0,-3.0,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,ok,ok,,1,1.0,0.0,0.0,0.0,4.0,0.5,3,0.333,1.0,0.0,0.333,9.7,0.5,0.667,-1.0,0.0,-0.333,-5.7,0.0,,,,,,,,,,
2026-08-12,008,欧冠资格赛,lg-ucl,,1.35,2.17,19.0,11.0,,,,,,,,,,,,,-0.8199999999999998,8.0,,,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,ok,ok,ok,,2,0.0,1.0,0.0,0.5,37.0,0.0,1,2.0,0.0,1.0,0.0,10.0,1.0,-2.0,1.0,-1.0,0.5,27.0,-1.0,,,,,,,,,,
2026-08-12,009,欧冠资格赛,lg-ucl,,3.32,0.55,19.0,6.0,,,,,,,,,,,,,2.77,13.0,,,,,3-0（1-0）,主胜,胜胜,3,3,0,1.0,0.0,ok,no,ok,,1,1.0,0.0,1.0,0.0,45.0,1.0,1,0.0,1.0,0.0,1.0,45.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1.0,,,,,,,,,,
2026-08-13,001,欧超杯,lg-ucl,,,,12.0,15.0,6.0,4.0,,,,,,,,,,,,-3.0,2.0,,,,2-1（1-1）,主胜,平胜,3,2,1,1.0,1.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-13,002,解放者杯,lg-bras,,1.77,0.65,16.0,11.0,,,,,,,,,,,,,1.12,5.0,,,,,1-1（1-0）,平,胜平,2,1,1,1.0,0.0,ok,ok,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-13,003,解放者杯,lg-bras,,1.76,0.23,21.0,8.0,,,,,,,,,,,,,1.53,13.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,,1,2.0,0.0,1.0,0.0,1.0,0.5,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,001,巴西杯,lg-bras,,,,12.0,16.0,3.0,5.0,,,,,,,,,,,,-4.0,-2.0,,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,ok,ok,ok,,2,0.0,1.5,0.0,0.5,2.0,,2,0.5,0.0,0.5,0.0,36.0,0.333,-0.5,1.5,-0.5,0.5,-34.0,,,,,,,,,,,
2026-08-05,002,欧冠,lg-ucl,,1.45,0.78,11.0,5.0,4.0,1.0,2.0,4.0,,,,,23.0,,,0.0,0.6699999999999999,6.0,3.0,-2.0,,,1-2（0-0）,客胜,平负,3,1,2,0.0,0.0,ok,ok,ok,,1,1.0,1.0,0.0,0.0,3.0,1.0,0,,,,,,,,,,,,,1.9,0.6,66.0,0.304,20.0,5.0,1.0,,,2.5
2026-08-05,003,欧冠,lg-ucl,,0.62,1.32,12.0,13.0,5.0,4.0,5.0,2.0,,,,,,,,,-0.7000000000000001,-1.0,1.0,3.0,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,no,no,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,004,欧冠,lg-ucl,,,,,,,,,,,,,,,,,,,,,,,,3-3（2-2）,平,平平,6,3,3,2.0,2.0,ok,no,ok,,0,,,,,,,3,1.667,0.0,1.0,0.0,14.3,0.5,,,,,,,,,,,,,,,,
2026-08-05,005,欧冠,lg-ucl,,1.29,1.28,9.0,11.0,3.0,4.0,6.0,9.0,,,,,,,,,0.01,-2.0,-1.0,-3.0,,,2-1（0-1）,主胜,负胜,3,2,1,0.0,1.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
