date,no,lam,lam_a,lam_sum,form5_w,form5_d,form5_l,form_gf,form_ga,inj_h,inj_a,temp,rain_p,wind,rank_gap,grade,dual,cr_lv,cr_p,zz_p,bs_p,has_alert,h2h_wr,h2h_edge
2026-07-21,001,,,,,,,,,,,,,,,3,0,0,,,,1,,
2026-07-21,002,,,,,,,,,,,,,,,2,0,0,,,,1,,
2026-07-21,003,,,,,,,,,,,,,,,3,0,0,,,,0,,
2026-07-22,001,,,,,,,,,,,,,,,1,0,0,,,,1,,
2026-07-22,002,,,,,,,,,,,,,,,1,0,0,,,,1,,
2026-07-22,003,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-22,004,,,,,,,,,,,,,,,3,0,0,,,,0,,
2026-07-22,005,,,,,,,,,,,,,,,2,0,0,,,,0,,
2026-07-22,006,,,,,,,,,,,,,,,3,0,0,,,,0,,
2026-07-22,007,,,,,,,,,,,,,,,3,0,0,,,,0,,
2026-07-23,001,,,,,,,,,,,,,,,1,0,0,,,,1,,
2026-07-23,002,,,,,,,,,,,,,,,1,0,0,,,,1,,
2026-07-23,003,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-23,004,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-23,005,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-23,006,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-23,007,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-23,008,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-23,009,,,,,,,,,,,,,,,2,0,0,,,,0,,
2026-07-24,001,,,,,,,,,,,,,,,1,0,0,,,,1,,
2026-07-24,002,,,,,,,,,,,,,,,1,0,0,,,,1,,
2026-07-24,003,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-24,004,,,,,,,,,,,,,,,1,0,0,,,,0,,
2026-07-24,005,,,,,,,,,,,,,,,2,0,0,,,,0,,
2026-07-25,001,,,,,,,,,,,,,,,1,0,0,,,,1,,
