match_id,market,bookmaker,quote_time,odds,over_under,handicap,settlement,match_result,stage
2026-08-02-001,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-002,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-003,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-004,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-005,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-006,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-007,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-008,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-009,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-010,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
2026-08-02-011,N/A,,,,,,,,PRE_ARCHIVE_WITHOUT_QUOTES
