match_id,home_goals,away_goals,home_goals_ht,away_goals_ht,result_1x2,result_source,asian_settlement,total_settlement,cashflow_1unit
2026-08-02-001,3,1,0,0,主胜,官方赛果,主队赢盘,大球,+1
2026-08-02-002,3,3,2,2,平局,官方赛果,走盘,大球,0
2026-08-02-003,2,0,0,0,主胜,官方赛果,主队赢盘,小球,+1
2026-08-02-004,1,2,0,0,客胜,官方赛果,客队赢盘,小球,+1
2026-08-02-005,2,0,1,0,主胜,官方赛果,主队赢盘,小球,+1
2026-08-02-006,0,1,0,1,客胜,官方赛果,客队赢盘,小球,+1
2026-08-02-007,1,0,0,0,主胜,官方赛果,主队赢盘,小球,+1
2026-08-02-008,0,3,0,2,客胜,官方赛果,客队赢盘,大球,-1
2026-08-02-009,2,1,2,0,主胜,官方赛果,主队赢盘,小球,+1
2026-08-02-010,3,3,1,1,平局,官方赛果,走盘,大球,0
2026-08-02-011,2,6,1,1,客胜,官方赛果,客队赢盘,大球,+1
