match_id,step,rule_id,parameter,before,after,note
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
2026-08-02-001,raw,R001,lambda_home_raw,1.30,1.20,主客场加权
2026-08-02-001,raw,R001,lambda_away_raw,1.15,0.95,主客场加权
2026-08-02-001,normalize,R007,probabilities,raw,normalized,总和归一化为1
