rule_id,version,phase,required_inputs,scope,exact_condition,coefficient,lower_bound,upper_bound,priority,conflicts_with,missing_data_action,abstain_condition,introduced_at,status
R001,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R002,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R003,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R004,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R005,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R006,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R007,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R008,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R009,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R010,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
